country,country_code,continent,population,indicator,weekly_count,year_week,rate_14_day,cumulative_count
Brazil,BRA,America,212559409,cases,0,2020-01,0.000000,0
Brazil,BRA,America,212559409,cases,0,2020-02,0.000000,0
Brazil,BRA,America,212559409,cases,0,2020-03,0.000000,0
Brazil,BRA,America,212559409,cases,0,2020-04,0.000000,0
Brazil,BRA,America,212559409,cases,0,2020-05,0.000000,0
Brazil,BRA,America,212559409,cases,0,2020-06,0.000000,0
Brazil,BRA,America,212559409,cases,0,2020-07,0.000000,0
Brazil,BRA,America,212559409,cases,0,2020-08,0.000000,0
Brazil,BRA,America,212559409,cases,2,2020-09,0.001000,2
Brazil,BRA,America,212559409,cases,23,2020-10,0.012000,25
Brazil,BRA,America,212559409,cases,175,2020-11,0.093000,200
Brazil,BRA,America,212559409,cases,1346,2020-12,0.716000,1546
Brazil,BRA,America,212559409,cases,2710,2020-13,1.908000,4256
Brazil,BRA,America,212559409,cases,6874,2020-14,4.509000,11130
Brazil,BRA,America,212559409,cases,11039,2020-15,8.427000,22169
Brazil,BRA,America,212559409,cases,16485,2020-16,12.949000,38654
Brazil,BRA,America,212559409,cases,23234,2020-17,18.686000,61888
Brazil,BRA,America,212559409,cases,39259,2020-18,29.400000,101147
Brazil,BRA,America,212559409,cases,61552,2020-19,47.427000,162699
Brazil,BRA,America,212559409,cases,78381,2020-20,65.832000,241080
Brazil,BRA,America,212559409,cases,122131,2020-21,94.332000,363211
Brazil,BRA,America,212559409,cases,151638,2020-22,128.796000,514849
Brazil,BRA,America,212559409,cases,176909,2020-23,154.567000,691758
Brazil,BRA,America,212559409,cases,175866,2020-24,165.965000,867624
Brazil,BRA,America,212559409,cases,217414,2020-25,185.021000,1085038
Brazil,BRA,America,212559409,cases,259105,2020-26,224.182000,1344143
Brazil,BRA,America,212559409,cases,258912,2020-27,243.705000,1603055
Brazil,BRA,America,212559409,cases,261626,2020-28,244.891000,1864681
Brazil,BRA,America,212559409,cases,233708,2020-29,233.033000,2098389
Brazil,BRA,America,212559409,cases,320702,2020-30,260.826000,2419091
Brazil,BRA,America,212559409,cases,314586,2020-31,298.876000,2733677
Brazil,BRA,America,212559409,cases,301745,2020-32,289.957000,3035422
Brazil,BRA,America,212559409,cases,304775,2020-33,285.341000,3340197
Brazil,BRA,America,212559409,cases,265586,2020-34,268.330000,3605783
