country,country_code,continent,population,indicator,weekly_count,year_week,rate_14_day,cumulative_count
Australia,AUS,Oceania,25499881,cases,0,2020-01,0.000000,0
Australia,AUS,Oceania,25499881,cases,0,2020-02,0.000000,0
Australia,AUS,Oceania,25499881,cases,0,2020-03,0.000000,0
Australia,AUS,Oceania,25499881,cases,4,2020-04,0.016000,4
Australia,AUS,Oceania,25499881,cases,7,2020-05,0.043000,11
Australia,AUS,Oceania,25499881,cases,3,2020-06,0.039000,14
Australia,AUS,Oceania,25499881,cases,1,2020-07,0.016000,15
Australia,AUS,Oceania,25499881,cases,7,2020-08,0.031000,22
Australia,AUS,Oceania,25499881,cases,7,2020-09,0.055000,29
Australia,AUS,Oceania,25499881,cases,51,2020-10,0.227000,80
Australia,AUS,Oceania,25499881,cases,218,2020-11,1.055000,298
Australia,AUS,Oceania,25499881,cases,1411,2020-12,6.388000,1709
Australia,AUS,Oceania,25499881,cases,2384,2020-13,14.882000,4093
Australia,AUS,Oceania,25499881,cases,1651,2020-14,15.824000,5744
Australia,AUS,Oceania,25499881,cases,578,2020-15,8.741000,6322
Australia,AUS,Oceania,25499881,cases,290,2020-16,3.404000,6612
Australia,AUS,Oceania,25499881,cases,101,2020-17,1.533000,6713
Australia,AUS,Oceania,25499881,cases,88,2020-18,0.741000,6801
Australia,AUS,Oceania,25499881,cases,140,2020-19,0.894000,6941
Australia,AUS,Oceania,25499881,cases,104,2020-20,0.957000,7045
Australia,AUS,Oceania,25499881,cases,64,2020-21,0.659000,7109
Australia,AUS,Oceania,25499881,cases,86,2020-22,0.588000,7195
Australia,AUS,Oceania,25499881,cases,65,2020-23,0.592000,7260
Australia,AUS,Oceania,25499881,cases,60,2020-24,0.490000,7320
Australia,AUS,Oceania,25499881,cases,141,2020-25,0.788000,7461
Australia,AUS,Oceania,25499881,cases,225,2020-26,1.435000,7686
Australia,AUS,Oceania,25499881,cases,763,2020-27,3.875000,8449
Australia,AUS,Oceania,25499881,cases,1348,2020-28,8.278000,9797
Australia,AUS,Oceania,25499881,cases,2005,2020-29,13.149000,11802
Australia,AUS,Oceania,25499881,cases,2601,2020-30,18.063000,14403
Australia,AUS,Oceania,25499881,cases,3520,2020-31,24.004000,17923
Australia,AUS,Oceania,25499881,cases,3161,2020-32,26.200000,21084
Australia,AUS,Oceania,25499881,cases,2204,2020-33,21.039000,23288
Australia,AUS,Oceania,25499881,cases,1524,2020-34,14.620000,24812
Australia,AUS,Oceania,25499881,cases,858,2020-35,9.341000,25670
Australia,AUS,Oceania,25499881,cases,609,2020-36,5.753000,26279
Australia,AUS,Oceania,25499881,cases,372,2020-37,3.847000,26651
Australia,AUS,Oceania,25499881,cases,247,2020-38,2.427000,26898
Australia,AUS,Oceania,25499881,cases,142,2020-39,1.525000,27040
Australia,AUS,Oceania,25499881,cases,96,2020-40,0.933000,27136
Australia,AUS,Oceania,25499881,cases,128,2020-41,0.878000,27264
Australia,AUS,Oceania,25499881,cases,126,2020-42,0.996000,27390
Australia,AUS,Oceania,25499881,cases,130,2020-43,1.004000,27520
Australia,AUS,Oceania,25499881,cases,75,2020-44,0.804000,27595
Australia,AUS,Oceania,25499881,cases,63,2020-45,0.541000,27658
Australia,AUS,Oceania,25499881,cases,67,2020-46,0.510000,27725
Australia,AUS,Oceania,25499881,cases,96,2020-47,0.639000,27821
Australia,AUS,Oceania,25499881,cases,72,2020-48,0.659000,27893
Australia,AUS,Oceania,25499881,cases,72,2020-49,0.565000,27965
Australia,AUS,Oceania,25499881,cases,66,2020-50,0.541000,28031
Australia,AUS,Oceania,25499881,cases,167,2020-51,0.914000,28198
Australia,AUS,Oceania,25499881,cases,114,2020-52,1.102000,28312
Australia,AUS,Oceania,25499881,cases,192,2020-53,1.200000,28504
Australia,AUS,Oceania,25499881,cases,110,2021-01,1.184000,28614
Australia,AUS,Oceania,25499881,cases,94,2021-02,0.800000,28708
Australia,AUS,Oceania,25499881,cases,58,2021-03,0.596000,28766
Australia,AUS,Oceania,25499881,cases,52,2021-04,0.431000,28818
