country,country_code,continent,population,indicator,weekly_count,year_week,rate_14_day,cumulative_count
Angola,AGO,Africa,32866268,cases,1779,2020-44,10.172000,10805
Australia,AUS,Oceania,25499881,cases,3161,2020-32,26.200000,21084
Austria,AUT,Europe,8901064,cases,42630,2020-47,1051.739000,246124
Brazil,BRA,America,212559409,cases,526089,2021-12,495.864000,12573615
China,CHN,Asia,1439323774,cases,30412,2020-07,3.711000,70618
France,FRA,Europe,67320216,cases,373409,2020-45,963.777000,1787324
Portugal,PRT,Europe,10295909,cases,83208,2021-04,1649.374000,726321
South Africa,ZAF,Africa,59308690,cases,106329,2021-02,399.904000,1337926
Thailand,THA,Asia,69799978,cases,10132,2021-15,20.938000,43742
United States Of America,USA,America,331002647,cases,1515282,2021-02,996.389000,23938288
