country,country_code,continent,population,indicator,weekly_count,year_week,rate_14_day,cumulative_count
United States Of America,USA,America,331002647,cases,0,2020-01,0.000000,0
United States Of America,USA,America,331002647,cases,0,2020-02,0.000000,0
United States Of America,USA,America,331002647,cases,0,2020-03,0.000000,0
United States Of America,USA,America,331002647,cases,5,2020-04,0.002000,5
United States Of America,USA,America,331002647,cases,6,2020-05,0.003000,11
United States Of America,USA,America,331002647,cases,1,2020-06,0.002000,12
United States Of America,USA,America,331002647,cases,3,2020-07,0.001000,15
United States Of America,USA,America,331002647,cases,20,2020-08,0.007000,35
United States Of America,USA,America,331002647,cases,54,2020-09,0.022000,89
United States Of America,USA,America,331002647,cases,465,2020-10,0.157000,554
United States Of America,USA,America,331002647,cases,3220,2020-11,1.113000,3774
United States Of America,USA,America,331002647,cases,31432,2020-12,10.469000,35206
United States Of America,USA,America,331002647,cases,107819,2020-13,42.069000,143025
United States Of America,USA,America,331002647,cases,194610,2020-14,91.368000,337635
United States Of America,USA,America,331002647,cases,219936,2020-15,125.239000,557571
United States Of America,USA,America,331002647,cases,202116,2020-16,127.507000,759687
United States Of America,USA,America,331002647,cases,206223,2020-17,123.364000,965910
United States Of America,USA,America,331002647,cases,192131,2020-18,120.348000,1158041
United States Of America,USA,America,331002647,cases,171758,2020-19,109.935000,1329799
United States Of America,USA,America,331002647,cases,156958,2020-20,99.309000,1486757
United States Of America,USA,America,331002647,cases,156481,2020-21,94.694000,1643238
United States Of America,USA,America,331002647,cases,146953,2020-22,91.671000,1790191
United States Of America,USA,America,331002647,cases,152172,2020-23,90.369000,1942363
United States Of America,USA,America,331002647,cases,151706,2020-24,91.805000,2094069
United States Of America,USA,America,331002647,cases,186843,2020-25,102.280000,2280912
United States Of America,USA,America,331002647,cases,268084,2020-26,137.439000,2548996
United States Of America,USA,America,331002647,cases,339639,2020-27,183.601000,2888635
United States Of America,USA,America,331002647,cases,416307,2020-28,228.381000,3304942
United States Of America,USA,America,331002647,cases,468318,2020-29,267.256000,3773260
United States Of America,USA,America,331002647,cases,460760,2020-30,280.686000,4234020
United States Of America,USA,America,331002647,cases,433935,2020-31,270.298000,4667955
United States Of America,USA,America,331002647,cases,376909,2020-32,244.966000,5044864
United States Of America,USA,America,331002647,cases,358405,2020-33,222.147000,5403269
United States Of America,USA,America,331002647,cases,299342,2020-34,198.714000,5702611
United States Of America,USA,America,331002647,cases,294552,2020-35,179.423000,5997163
United States Of America,USA,America,331002647,cases,279258,2020-36,173.355000,6276421
United States Of America,USA,America,331002647,cases,243558,2020-37,157.949000,6519979
United States Of America,USA,America,331002647,cases,284835,2020-38,159.634000,6804814
United States Of America,USA,America,331002647,cases,310232,2020-39,179.777000,7115046
United States Of America,USA,America,331002647,cases,302799,2020-40,185.204000,7417845
United States Of America,USA,America,331002647,cases,344699,2020-41,195.617000,7762544
United States Of America,USA,America,331002647,cases,392051,2020-42,222.581000,8154595
United States Of America,USA,America,331002647,cases,481570,2020-43,263.932000,8636165
United States Of America,USA,America,331002647,cases,571197,2020-44,318.054000,9207362
United States Of America,USA,America,331002647,cases,764289,2020-45,403.467000,9971651
